Invoice ID,Branch City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,cogs,gross income,Rating
750-67-8428,Yangon,Member,Female,Health and beauty,74.69,7,548.9715,1/5/2019,13:08,Ewallet,522.83,26.1415,9.1
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,80.22,3/8/2019,10:29,Cash,76.4,3.82,9.6
631-41-3108,Yangon,Normal,Male,Home and lifestyle,46.33,7,340.5255,3/3/2019,13:23,Credit card,324.31,16.2155,7.4
123-19-1176,Yangon,Member,Male,Health and beauty,58.22,8,489.048,1/27/2019,20:33,Ewallet,465.76,23.288,8.4
373-73-7910,Yangon,Normal,Male,Sports and travel,86.31,7,634.3785,2/8/2019,10:37,Ewallet,604.17,30.2085,5.3
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,627.6165,3/25/2019,18:30,Ewallet,597.73,29.8865,4.1
355-53-5943,Yangon,Member,Female,Electronic accessories,68.84,6,433.692,2/25/2019,14:36,Ewallet,413.04,20.652,5.8
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,772.38,2/24/2019,11:38,Ewallet,735.6,36.78,8
665-32-9167,Yangon,Member,Female,Health and beauty,36.26,2,76.146,1/10/2019,17:15,Credit card,72.52,3.626,7.2
692-92-5582,Mandalay,Member,Female,Food and beverages,54.84,3,172.746,2/20/2019,13:27,Credit card,164.52,8.226,5.9
351-62-0822,Mandalay,Member,Female,Fashion accessories,14.48,4,60.816,2/6/2019,18:07,Ewallet,57.92,2.896,4.5
529-56-3974,Mandalay,Member,Male,Electronic accessories,25.51,4,107.142,3/9/2019,17:03,Cash,102.04,5.102,6.8
365-64-0515,Yangon,Normal,Female,Electronic accessories,46.95,5,246.4875,2/12/2019,10:25,Ewallet,234.75,11.7375,7.1
252-56-2699,Yangon,Normal,Male,Food and beverages,43.19,10,453.495,2/7/2019,16:48,Ewallet,431.9,21.595,8.2
829-34-3910,Yangon,Normal,Female,Health and beauty,71.38,10,749.49,3/29/2019,19:21,Cash,713.8,35.69,5.7
299-46-1805,Mandalay,Member,Female,Sports and travel,93.72,6,590.436,1/15/2019,16:19,Cash,562.32,28.116,4.5
656-95-9349,Yangon,Member,Female,Health and beauty,68.93,7,506.6355,3/11/2019,11:03,Credit card,482.51,24.1255,4.6
765-26-6951,Yangon,Normal,Male,Sports and travel,72.61,6,457.443,1/1/2019,10:39,Credit card,435.66,21.783,6.9
329-62-1586,Yangon,Normal,Male,Food and beverages,54.67,3,172.2105,1/21/2019,18:00,Credit card,164.01,8.2005,8.6
319-50-3348,Mandalay,Normal,Female,Home and lifestyle,40.3,2,84.63,3/11/2019,15:30,Ewallet,80.6,4.03,4.4
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,86.04,5,451.71,2/25/2019,11:24,Ewallet,430.2,21.51,4.8
371-85-5789,Mandalay,Normal,Male,Health and beauty,87.98,3,277.137,3/5/2019,10:40,Ewallet,263.94,13.197,5.1
273-16-6619,Mandalay,Normal,Male,Home and lifestyle,33.2,2,69.72,3/15/2019,12:20,Credit card,66.4,3.32,4.4
636-48-8204,Yangon,Normal,Male,Electronic accessories,34.56,5,181.44,2/17/2019,11:15,Ewallet,172.8,8.64,9.9
549-59-1358,Yangon,Member,Male,Sports and travel,88.63,3,279.1845,3/2/2019,17:36,Ewallet,265.89,13.2945,6
227-03-5010,Yangon,Member,Female,Home and lifestyle,52.59,8,441.756,3/22/2019,19:20,Credit card,420.72,21.036,8.5
649-29-6775,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.196,2/8/2019,15:31,Cash,33.52,1.676,6.7
189-17-4241,Yangon,Normal,Female,Fashion accessories,87.67,2,184.107,3/10/2019,12:17,Credit card,175.34,8.767,7.7
145-94-9061,Mandalay,Normal,Female,Food and beverages,88.36,5,463.89,1/25/2019,19:48,Cash,441.8,22.09,9.6
848-62-7243,Yangon,Normal,Male,Health and beauty,24.89,9,235.2105,3/15/2019,15:36,Cash,224.01,11.2005,7.4
871-79-8483,Mandalay,Normal,Male,Fashion accessories,94.13,5,494.1825,2/25/2019,19:39,Credit card,470.65,23.5325,4.8
149-71-6266,Mandalay,Member,Male,Sports and travel,78.07,9,737.7615,1/28/2019,12:43,Cash,702.63,35.1315,4.5
640-49-2076,Mandalay,Normal,Male,Sports and travel,83.78,8,703.752,1/10/2019,14:49,Cash,670.24,33.512,5.1
595-11-5460,Yangon,Normal,Male,Health and beauty,96.58,2,202.818,3/15/2019,10:12,Credit card,193.16,9.658,5.1
183-56-6882,Naypyitaw,Member,Female,Food and beverages,99.42,4,417.564,2/6/2019,10:42,Ewallet,397.68,19.884,7.5
232-16-2483,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.526,1/7/2019,12:28,Ewallet,68.12,3.406,6.8
129-29-8530,Yangon,Member,Male,Sports and travel,62.62,5,328.755,3/10/2019,19:15,Ewallet,313.1,15.655,7
272-65-1806,Yangon,Normal,Female,Electronic accessories,60.88,9,575.316,1/15/2019,17:17,Ewallet,547.92,27.396,4.7
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,54.92,8,461.328,3/23/2019,13:24,Ewallet,439.36,21.968,7.6
777-82-7220,Mandalay,Member,Male,Home and lifestyle,30.12,8,253.008,3/3/2019,13:01,Cash,240.96,12.048,7.7
280-35-5823,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.056,1/17/2019,18:45,Ewallet,86.72,4.336,7.9
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,117.831,2/2/2019,10:11,Cash,112.22,5.611,6.3
354-25-5821,Mandalay,Member,Female,Sports and travel,69.12,6,435.456,2/8/2019,13:03,Cash,414.72,20.736,5.6
228-96-1411,Naypyitaw,Member,Female,Food and beverages,98.7,8,829.08,3/4/2019,20:39,Cash,789.6,39.48,7.6
617-15-4209,Naypyitaw,Member,Male,Health and beauty,15.37,2,32.277,3/16/2019,19:47,Cash,30.74,1.537,7.2
132-32-9879,Mandalay,Member,Female,Electronic accessories,93.96,4,394.632,3/9/2019,18:00,Cash,375.84,18.792,9.5
370-41-7321,Mandalay,Member,Male,Health and beauty,56.69,9,535.7205,2/27/2019,17:24,Credit card,510.21,25.5105,8.4
727-46-3608,Mandalay,Member,Female,Food and beverages,20.01,9,189.0945,2/6/2019,15:47,Ewallet,180.09,9.0045,4.1
669-54-1719,Mandalay,Member,Male,Electronic accessories,18.93,6,119.259,2/10/2019,12:45,Credit card,113.58,5.679,8.1
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,82.63,10,867.615,3/19/2019,17:08,Ewallet,826.3,41.315,7.9
326-78-5178,Naypyitaw,Member,Male,Food and beverages,91.4,7,671.79,2/3/2019,10:19,Cash,639.8,31.99,9.5
162-48-8011,Yangon,Member,Female,Food and beverages,44.59,5,234.0975,2/10/2019,15:10,Cash,222.95,11.1475,8.5
616-24-2851,Mandalay,Member,Female,Fashion accessories,17.87,4,75.054,3/22/2019,14:42,Ewallet,71.48,3.574,6.5
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2015,1/25/2019,15:46,Credit card,15.43,0.7715,6.1
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,16.16,2,33.936,3/7/2019,11:49,Ewallet,32.32,1.616,6.5
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,722.232,2/28/2019,19:01,Cash,687.84,34.392,8.2
106-35-6779,Yangon,Member,Male,Home and lifestyle,44.34,2,93.114,3/27/2019,11:26,Cash,88.68,4.434,5.8
635-40-6220,Yangon,Normal,Male,Health and beauty,89.6,8,752.64,2/7/2019,11:28,Ewallet,716.8,35.84,6.6
817-48-8732,Yangon,Member,Female,Home and lifestyle,72.35,10,759.675,1/20/2019,15:55,Cash,723.5,36.175,5.4
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,192.843,3/12/2019,20:36,Cash,183.66,9.183,9.3
285-68-5083,Naypyitaw,Member,Female,Sports and travel,24.74,3,77.931,2/15/2019,17:47,Credit card,74.22,3.711,10
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,351.099,2/24/2019,10:55,Ewallet,334.38,16.719,7
347-34-2234,Mandalay,Member,Female,Sports and travel,55.07,9,520.4115,2/3/2019,13:40,Ewallet,495.63,24.7815,10
199-75-8169,Yangon,Member,Male,Sports and travel,15.81,10,166.005,3/6/2019,12:27,Credit card,158.1,7.905,8.6
